post,is_stress,stress_kind
"Suddenly, Dad needs to have heart surgery on Thursday.",Yes,Family Issues
"Grandma has dementia, and it was getting really bad.",Yes,Family Issues
"I haven't felt happy with my husband for a long time, which tells me something has been wrong.",Yes,Family Issues
"I can't help my mom get over her past, nor my father his, and it feels like my sister's hanging off a ledge and I can't pull her back up.",Yes,Family Issues
My grandma however is currently panicing because she can't seem to contact any of her family down there.,Yes,Family Issues
my parents make my life very complicated sometimes.,Yes,Family Issues
I can't support my family on going home early.,Yes,Family Issues
my mom's losing her job.,Yes,Family Issues
"I'm so sick of people, ie family, giving me a hard time.",Yes,Family Issues
i cant talk to my parents about how stressed i am bc itll worry them even more.,Yes,Family Issues
"my mom has been kind of worried about me lately, and i've kinda felt the need to talk with her about everything thats been goin on with me.",Yes,Family Issues
My mom gets mad at me really easily and my family is probably moving soon which means I need to find a place to live soon.,Yes,Family Issues
To every girl that cries at night because of another heartbreak.,Yes,Family Issues
"I hate when couples at our age, fight over the stupidiest reasons.",Yes,Family Issues
They're so dysfunctional that their family counselor decides she can't deal with them.,Yes,Family Issues
All night long Ashley was hissing and growling and scaring the pants off poor Tizzy so she cried all night.,Yes,Family Issues
My daughter is suffering badly from the relationship my mother created between that old man and my child.,Yes,Family Issues
Angry because I saw the extent of my families HUGE problem communicating with each other.,Yes,Family Issues
Wow I hate being even in the same house as my dad when he is in a bad mood because everyone has to suffer.,Yes,Family Issues
Bills were late and I couldn't aford a babysitter for her.,Yes,Family Issues
Amanda's poor sister in her belly is bothering her.,Yes,Family Issues
Parents have this awful habit of fucking up their kids already pathetic lives.,Yes,Family Issues
Aunt Cheryl and Pop's passing have been tough on me.,Yes,Family Issues
Your father and brother are worried sick!,Yes,Family Issues
I don't want her to grow up feeling like she has a big sister who doesn't know her and doesn't care enough to be there more than twice a year.,Yes,Family Issues
It's even worse that I get a hassle from my mother about it.,Yes,Family Issues
It bothers me because it reminds me of my mother and I get scared.,Yes,Family Issues
"your family, and your very impressionable children about a basic requirement for life is NOT OKAY!",Yes,Family Issues
"Alright, so my mom is really starting to piss me off.",Yes,Family Issues
My family is also driving me insane.,Yes,Family Issues
"since my mom and I got in that big fight, i couldn't",Yes,Family Issues
"Sometimes, I find family activities boring and have difficulty following family rules that don't make sense to me.",Yes,Family Issues
My mother is driving me crazy.,Yes,Family Issues
It's sad that Uncle Gerrald's family won't be able to come down this year.,Yes,Family Issues
Sorry i had to do that my mom is driving me insane.,Yes,Family Issues
Got in an argument with my dad over my age and responsibilities again.,Yes,Family Issues
"Mom is kind of nagging me a lot lately, and I don't know if she's always done it or if I'm just noticing that it bothers me.",Yes,Family Issues
"All the fun had stopped when I got home and got into a fight with my mom over not calling her, etc.",Yes,Family Issues
"There's a huge lack of supervision between either the parents of the children or the providers there.""",Yes,Family Issues
She got into a fight with her mom and left.,Yes,Family Issues
I hate knowing how much my mom is hurting.,Yes,Family Issues
My mom just gave me a buncha crap cuz I didn't answer the phone when it didn't ring and didn't seem to believe me that it really didn't ring.,Yes,Family Issues
"On another note, my mom is pissed at me.",Yes,Family Issues
Kids dont' get to know their parents and parents dont get to know their kids.,Yes,Family Issues
I'm sooo pissed off cuz I can't go home and my bf misses me and our son and he can't see us.,Yes,Family Issues
god my family sucks sometimes.,Yes,Family Issues
now between school and work and childcare and everything else there isnt any time left for us.,Yes,Family Issues
I'm scared of not having a family.,Yes,Family Issues
i hate how im 13 no 11 years old max when my parents look at me.,Yes,Family Issues
I think he was traumatized by his mom to always have something to do and not sit idly doing nothing.,Yes,Family Issues
My mom got me sick.,Yes,Family Issues
frustrated with my family a lot lately.,Yes,Family Issues
"still her mother worried, for her to face this day alone.",Yes,Family Issues
If I spend too much time around my family I am going to frickin burst cause they are all starting to drive me insane.,Yes,Family Issues
we're all just so damn busy with work and with other things that it is so difficult to coincide schedules and get together for half an hour.,Yes,Everyday Decision Making
"I'm not being productive enough, and my progress report doesn't make me feel any smarter.",Yes,Everyday Decision Making
I feel so helpless and upset almost everyday.,Yes,Everyday Decision Making
"Stress level is high as hell since I KNOW in Art Center I'm fucked over, I need to do things, like clean my room so I can do those things.",Yes,Everyday Decision Making
"I've been worrying a lot lately, and I cannot talk about so many of those worries..",Yes,Everyday Decision Making
This training stuff has been a really stressful.,Yes,Everyday Decision Making
come dinner i was really hungry cuz i didnt eat any lunch.,No,Everyday Decision Making
"I've been much too distracted by work lately, using up too much energy being annoyed and worried.",Yes,Everyday Decision Making
"Not really, not to speak of, but just upset that I can't eat and work on my page at the same time.",Yes,Everyday Decision Making
Not too sure whats for dinner tonight.,No,Everyday Decision Making
We have a lot of work to do at this point and we're getting started right now!!!,Yes,Everyday Decision Making
I've been getting stressed out and fustrated lately.,Yes,Everyday Decision Making
"However, customizing the Start Menu is now a big pain.",Yes,Everyday Decision Making
Im getting to the point where Im constantly stressed out about it.,Yes,Everyday Decision Making
It's like everyday I have to struggle just to get by and I don't even know why I bother.,Yes,Everyday Decision Making
"i don't know, buti reeeeally need to get my car fixed, because right now neither jenny nor i have functional autos.",Yes,Everyday Decision Making
"I think we have a dinner meeting scheduled, but I'm not sure what time or what's going on with that. I miss my friends. Monday night",Yes,Everyday Decision Making
I'm finding it hard to update this thing everyday.,Yes,Everyday Decision Making
"We are getting ready to move out of our flat, it's very hectic and I'm really stressed out because I'm worried we won't get everything out in time.",Yes,Everyday Decision Making
i get heaps sick of doing ALL the work in ALL situations and never getting people to endlessly praise me.,Yes,Everyday Decision Making
Chris and I head over to my moms for dinner and things just felt weird.,Yes,Everyday Decision Making
hey everyone..i have had to much time on my hands today..and thats never a good thing with me..,No,Everyday Decision Making
